brand_name,product_name,list_price,quantity,order_date,required_date,shipped_date,first_name,store_name,state
Electra,Electra Townie Original 7D EQ - Women's - 2016,599.99,1,2016-01-01,2016-01-03,2016-01-03,Mireya,Santa Cruz Bikes,CA
Trek,Trek Remedy 29 Carbon Frameset - 2016,1799.99,2,2016-01-01,2016-01-03,2016-01-03,Mireya,Santa Cruz Bikes,CA
Surly,Surly Straggler - 2016,1549.00,2,2016-01-01,2016-01-03,2016-01-03,Mireya,Santa Cruz Bikes,CA
Electra,Electra Townie Original 7D EQ - 2016,599.99,2,2016-01-01,2016-01-03,2016-01-03,Mireya,Santa Cruz Bikes,CA
Trek,Trek Fuel EX 8 29 - 2016,2899.99,1,2016-01-01,2016-01-03,2016-01-03,Mireya,Santa Cruz Bikes,CA
Electra,Electra Townie Original 7D EQ - Women's - 2016,599.99,1,2016-01-01,2016-01-04,2016-01-03,Marcelene,Baldwin Bikes,NY
Electra,Electra Townie Original 7D EQ - 2016,599.99,2,2016-01-01,2016-01-04,2016-01-03,Marcelene,Baldwin Bikes,NY
Surly,Surly Wednesday Frameset - 2016,999.99,1,2016-01-02,2016-01-05,2016-01-03,Venita,Baldwin Bikes,NY
Electra,Electra Townie Original 7D EQ - Women's - 2016,599.99,1,2016-01-02,2016-01-05,2016-01-03,Venita,Baldwin Bikes,NY
Ritchey,Ritchey Timberwolf Frameset - 2016,749.99,2,2016-01-03,2016-01-04,2016-01-05,Genna,Santa Cruz Bikes,CA
Surly,Surly Straggler - 2016,1549.00,2,2016-01-03,2016-01-06,2016-01-06,Marcelene,Baldwin Bikes,NY
Pure Cycles,Pure Cycles Vine 8-Speed - 2016,429.00,1,2016-01-03,2016-01-06,2016-01-06,Marcelene,Baldwin Bikes,NY
Electra,Electra Townie Original 7D EQ - 2016,599.99,1,2016-01-03,2016-01-06,2016-01-06,Marcelene,Baldwin Bikes,NY
Pure Cycles,Pure Cycles Western 3-Speed - Women's - 2015/2016,449.00,1,2016-01-04,2016-01-07,2016-01-05,Marcelene,Baldwin Bikes,NY
