brand_name,product_name,list_price,Order Quantity,order_date,required_date,shipped_date,Sales Consultant First Name,store_name,state,Total Price
Electra,Electra Townie Original 7D EQ - Women's - 2016,599.99,1,2016-01-01,2016-01-01,2016-01-01,Mireya,Santa Cruz Bikes,CA,599.99
Trek,Trek Remedy 29 Carbon Frameset - 2016,1799.99,2,2016-01-01,2016-01-01,2016-01-01,Mireya,Santa Cruz Bikes,CA,3599.98
Surly,Surly Straggler - 2016,1549.0,2,2016-01-01,2016-01-01,2016-01-01,Mireya,Santa Cruz Bikes,CA,3098.0
Electra,Electra Townie Original 7D EQ - 2016,599.99,2,2016-01-01,2016-01-01,2016-01-01,Mireya,Santa Cruz Bikes,CA,1199.98
Trek,Trek Fuel EX 8 29 - 2016,2899.99,1,2016-01-01,2016-01-01,2016-01-01,Mireya,Santa Cruz Bikes,CA,2899.99
Electra,Electra Townie Original 7D EQ - Women's - 2016,599.99,1,2016-01-01,2016-01-01,2016-01-01,Marcelene,Baldwin Bikes,NY,599.99
Electra,Electra Townie Original 7D EQ - 2016,599.99,2,2016-01-01,2016-01-01,2016-01-01,Marcelene,Baldwin Bikes,NY,1199.98
Surly,Surly Wednesday Frameset - 2016,999.99,1,2016-01-02,2016-01-02,2016-01-02,Venita,Baldwin Bikes,NY,999.99
Electra,Electra Townie Original 7D EQ - Women's - 2016,599.99,1,2016-01-02,2016-01-02,2016-01-02,Venita,Baldwin Bikes,NY,599.99
Ritchey,Ritchey Timberwolf Frameset - 2016,749.99,2,2016-01-03,2016-01-03,2016-01-03,Genna,Santa Cruz Bikes,CA,1499.98
Surly,Surly Straggler - 2016,1549.0,2,2016-01-03,2016-01-03,2016-01-03,Marcelene,Baldwin Bikes,NY,3098.0
Pure Cycles,Pure Cycles Vine 8-Speed - 2016,429.0,1,2016-01-03,2016-01-03,2016-01-03,Marcelene,Baldwin Bikes,NY,429.0
Electra,Electra Townie Original 7D EQ - 2016,599.99,1,2016-01-03,2016-01-03,2016-01-03,Marcelene,Baldwin Bikes,NY,599.99
Pure Cycles,Pure Cycles Western 3-Speed - Women's - 2015/2016,449.0,1,2016-01-04,2016-01-04,2016-01-04,Marcelene,Baldwin Bikes,NY,449.0
